OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,39.758047,-114.70143
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,27.093109,-120.36722
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,44.417943,-97.88958
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,25.287958,-74.514022
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,41.006175,-81.498278
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,25.936697,-68.882008
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,29.96452,-72.174273
44,CIRCLE K #2612042,"I-35,EXIT 271",Jarrell,TX,595,2.919,32.779048,-112.489748
46,PETRO STOPPING CENTER #348,"I-85,EXIT 22 & CR-138",Shorter,AL,720,3.154,27.58947,-109.384665
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,39.791098,-91.414027
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,30.5705,-103.094022
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,43.446366,-82.965939
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,44.998839,-73.012506
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,33.46565,-100.122479
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle,DE,243,3.249,33.723047,-116.59909
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,33.025917,-108.618028
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459,41.829581,-104.319343
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville,GA,135,3.499,45.626457,-95.43066
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,36.908337,-117.105386
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.339,45.58767,-88.330654
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.429,35.331934,-106.903929
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.289,44.844414,-99.582933
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.399,39.047967,-85.926461
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.299,28.327236,-68.162154
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,45.302427,-101.164182
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,45.710858,-74.220871
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,32.491437,-101.912882
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,510,3.399,32.59783,-84.095911
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,510,3.349,35.159763,-81.829166
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,510,3.549,46.70433,-70.472873
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,47.040624,-107.833479
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.389,32.063536,-123.195117
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.449,26.117299,-115.623439
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,39.781594,-119.090498
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne,IN,370,3.59233333,36.839557,-114.715056
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233333,29.606571,-74.856689
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,46.287609,-101.41622
159,PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,36.655198,-112.69574
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs ,LA,600,3.23233333,26.096753,-96.307968
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station,IN,365,3.809,36.54197,-107.917813
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,26.223774,-76.697115
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches,TX,618,2.859,36.02929,-79.710408
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,40.205633,-106.216079
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft,WY,822,3.239,30.985323,-82.405347
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333,35.868899,-123.375262
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,36.398659,-85.1028
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart,IA,320,3.099,36.014234,-108.739551
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333,47.366075,-84.45515
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299,43.025208,-74.875931
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,31.793729,-109.167082
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,46.170331,-96.18917
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.799,32.138584,-115.233427
207,MARATHON,SR-32,Sardinia,OH,300,3.56566666,40.7569,-84.46083
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,27.380431,-81.585032
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,46.406573,-102.620122
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999,31.387077,-96.672567
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,25.657201,-76.933663
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.41233333,45.114806,-116.259892
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039,26.202576,-78.619899
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,38.47486,-87.019111
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,29.268197,-91.132387
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,36.824452,-102.254355
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,35.433253,-79.777008
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,33.943534,-90.677595
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville,MD,165,3.899,30.209923,-83.88415
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls,MT,815,3.63566666,32.908543,-103.680214
